country,show_id
Spain,81073590
Australia,70290905
United Arab Emirates,80095233
India,80121872
India,70254342
United States,80179373
United States,70253594
United States,80117831
United States,80157073
United States,80021955
United States,80047200
United States,80186940
United Kingdom,81004460
United States,80108983
Hong Kong,80076698
United States,80216779
United States,70143865
United States,70113532
Pakistan,81110389
India,80236278
South Korea,81026700
India,81186757
United States,80986854
France,80155475
United States,81235729
United States,70044686
Zimbabwe,80168084
India,80124313
United States,80154682
United States,70285728
Spain,80209658
United States,80180225
United States,80161728
Spain,80118718
Taiwan,81020716
United States,80169617
United States,80216758
Spain,80161104
Mexico,80097641
Japan,81002451
India,60032685
United States,80133554
United Kingdom,80048940
Canada,80194367
Indonesia,81033201
China,70123160
United States,60031404
Japan,70052492
United States,80167481
United States,80198046
Egypt,81035841
China,80163369
United States,80161109
United States,81078819
United Kingdom,70084775
India,81039384
United States,80184661
Indonesia,81002866
United States,80142617
Poland,81221851
United States,80122179
Israel,80081372
United States,70051671
United Kingdom,80036427
Brazil,80190535
Slovenia,80214579
Mexico,70205712
China,70242536
United Kingdom,80156538
United States,70178618
United Kingdom,81060232
United States,292118
United States,80158168
Australia,70242568
United States,80063705
China,80208951
United States,81191195
India,80201813
India,80192548
United States,80021840
Argentina,70074315
United States,70044693
Japan,80045673
United States,80205978
United States,569355
South Korea,81000511
Mexico,80183088
Colombia,80230435
United States,70020750
Australia,81018141
Mexico,70045866
United States,80017537
India,80122191
China,70082255
India,70087087
Nigeria,81165769
United States,80992769
Taiwan,80108773
United States,60010836
United States,60029167
