director,show_id
Hrishikesh Mukherjee,21028086
Tekin Girgin,80017535
David Fincher,1178866
Jaime Rayo,80220422
John Lee Hancock,80200571
Blayne Weaver,81152930
Samu Fuentes,80168029
Jung-ah Im,80176842
Robert Tate,80238655
Ali F. Mostafa,80191513
Odunlade Adekola,81172726
Kaizad Gustad,60036746
Jason Reitman,70117902
Smriti Keshari,80080106
R. Balki,81016191
Milan Luthria,80211134
Yann Gozlan,80171678
Subhash Ghai,60001670
Ananth Narayan Mahadevan,80201825
Umesh Mehra,80156938
Jesse V. Johnson,70082264
Jeff Tremaine,70308046
Munjal Shroff,80182596
Juan Pablo Buscarini,80152627
Sujoy Ghosh,81112446
Rodney Rothman,81002747
Roland Joffé,80038446
Vishal Bhardwaj,70117268
Jon Reiner,80128692
Cheh Chang,70100527
Navneet Behal,80202090
Joe Miale,80176592
Mike Disa,70117582
Seung-uk Jo,80176929
Y. Joon Chung,80223582
Richard Rich,70297962
Tanvir Ahsan,81048551
Lee Eung-bok,80991107
John Huston,70022548
Andrea Arnold,80096782
Morgan Spurlock,70271599
Bharat Jain,80201826
Fernando Ayllón,81026007
Kevin Layne,70303706
Franck Ribière,80159586
Mae Czarina Cruz,80188883
Tim Maltby,81065331
Michèle Ohayon,80076160
Afia Nathaniel,80114155
Harvey Lowry,80225024
Mike Nicoll,80104182
Sophie Robinson,80049951
Toa Fraser,80162195
Mike Birbiglia,80133550
John Dahl,17236920
Carlos Therón,80202503
Heather Walsh,80174436
Paul Thomas Anderson,70244163
Sara Colangelo,80240972
Shannon Hartman,80002621
Katy Chevigny,70299286
Tarun Mansukhani,81189912
Antonio Piazza,81039323
Robert Vince,80189866
Hakan Algül,81132441
Don Michael Paul,80066084
Savage Steve Holland,81214223
Waymon Boone,80222188
Logan Kibens,80106438
Shakti Samanta,81213898
B. Unnikrishnan,70241088
Bonni Cohen,80097321
David Sington,80099305
Daniel Gray Longino,80185321
David Dhawan,80236906
Aaron Hann,80070182
Kieran Darcy-Smith,80108430
Hans Petter Moland,70301484
Vijay Lalwani,70134537
Mez Tharatorn,80159880
Jeannie Gaffigan,80117811
Daniel Scheinert,80097389
Nicole Holofcener,80164779
Robert Adetuyi,80193491
Mark Franchetti,81001494
Sameer Vidwans,81035109
Syed Atif Ali,81047446
Tony Scott,70112730
Andrew Renzi,80048200
Matt Kay,81110394
Louis C.K.,70129452
Max McGill,80162142
YC Tom Lee,81122206
Nana Ekvtimishvili,80171247
Nicolas Cotto,80208083
Sam Voutas,80190463
Frank Coraci,80039517
Gajendra Ahire,70121660
Anil Thomas,80998565
Chris Bell,81009815
